condition,replicate,group,CDW,Yx,Yp,mumax,lag,strain,strain_type
Ara_2,1,pentose,1.39875,0.27987336015874764,0.6700845812516765,0.07720676982978118,4.331904333834811,PE2,lab
Ara_2,2,pentose,1.3965,0.2801024975135374,0.49204202568218874,0.08093025270593704,4.241021158261086,PE2,lab
Ara_2,3,pentose,1.43175,0.28774512789281365,0.5520913263370483,0.08300797697329158,3.8237838222669787,PE2,lab
Man_16,1,hexose,0.9299999999999999,0.058124999999999996,0.16444672131147542,0.018155599550774754,5.626631067566141,PE2,lab
Man_16,2,hexose,0.9622499999999999,0.060140624999999996,0.1678864168618267,0.010453935839229093,6.617660458379582,PE2,lab
Man_16,3,hexose,0.9195,0.05746875,0.1877195550351288,0.008301838819895624,6.615141471107543,PE2,lab
Man_10,1,hexose,3.12,0.312,0.19918032786885248,0.09947810225968795,4.701319202276469,PE2,lab
Man_10,2,hexose,3.18,0.318,0.240632318501171,0.09318258369211886,5.0851005257891195,PE2,lab
Man_10,3,hexose,1.44375,0.144375,0.31932084309133496,0.08950822380683887,5.977434707642819,PE2,lab
EtOH_90,1,alcohol,0,0,0,0,0,PE2,lab
EtOH_90,2,alcohol,0,0,0,0,0,PE2,lab
EtOH_90,3,alcohol,0,0,0,0,0,PE2,lab
EtOH_45,1,alcohol,1.3845,0.07118604815864023,0,0.08692239357125693,11.8510634180045,PE2,lab
EtOH_45,2,alcohol,1.314,0.06756118980169973,0,0.08630272845140363,13.641699181936938,PE2,lab
EtOH_45,3,alcohol,1.2405,0.06843487841945288,0,0.0856107625242821,16.175315277833846,PE2,lab
NaCl_80,1,salt,0.261,0,0,0.05322607877591558,16.80087873067447,PE2,lab
NaCl_80,2,salt,0.21075000000000002,0,0,0.05415252688289329,17.467500859119188,PE2,lab
NaCl_80,3,salt,0.26925,0,0,0.04805444346357618,18.071459527646176,PE2,lab
NaCl_25,1,salt,1.476,0.07632307692307692,0.14852829320042438,0.07818046460817404,6.67451278290475,PE2,lab
NaCl_25,2,salt,1.41975,0.07341442307692309,0.1711738625673052,0.07897786350182377,6.4140471630038505,PE2,lab
NaCl_25,3,salt,1.39875,0.07232852564102564,0.17977191296863432,0.08523622597320295,8.403041264651822,PE2,lab
FrAcid_3.5,1,acid,0.79725,0.04122532051282052,0.05388918913509079,0.06964420253919922,8.488785243302873,PE2,lab
FrAcid_3.5,2,acid,0.90075,0.046313349858356945,0.17779006972686442,0.0711721626231126,9.197042271466607,PE2,lab
FrAcid_3.5,3,acid,0.85275,0.044095192307692314,0.19042865149422528,0.07019083357224387,7.679241881451471,PE2,lab
FrAcid_1,1,acid,1.17375,0.05967384453781513,0.16764213882274223,0.10941338748103416,13.736219190651566,PE2,lab
FrAcid_1,2,acid,1.1415,0.06005282608695653,0.16029019448121376,0.0990698520998435,11.623450996318265,PE2,lab
FrAcid_1,3,acid,1.1355,0.059737173913043486,0.17975664392628043,0.09843790158709131,11.626985587161835,PE2,lab
AcAcid_6,1,acid,0.9697499999999999,0.04930241596638654,0.16776120284179244,0.1045782320342152,3.660031923005621,PE2,lab
AcAcid_6,2,acid,0.9375,0.04820290368271954,0.17483994665994387,0.10257065369312252,5.826534720361471,PE2,lab
AcAcid_6,3,acid,0.9390000000000001,0.0477390756302521,0.17460738393718145,0.10542832476537072,7.322032663226386,PE2,lab
AcAcid_4.5,1,acid,0.8955,0.045784014084507045,0.16236039185935283,0.09736482134921584,5.77242745876016,PE2,lab
AcAcid_4.5,2,acid,0.9135,0.04805804347826088,0.19577334283677836,0.1015038336902253,6.795042262186584,PE2,lab
AcAcid_4.5,3,acid,0.88425,0.04625111671469741,0.16818599032186224,0.10368493184275815,7.315081821235933,PE2,lab
LacAcid_7,1,acid,3.4425,0.17501785714285714,0,0.12269784333326907,3.741560569330967,PE2,lab
LacAcid_7,2,acid,3.5774999999999997,0.1849903846153846,0.11316729718369063,0.13178061777749756,2.6180701557075428,PE2,lab
LacAcid_7,3,acid,3.3825,0.1729362676056338,0.1248833987531748,0.1296570319963405,2.7315595139692843,PE2,lab
LacAcid_2,1,acid,3.4200000000000004,0.1788847262247839,0.17976179227773692,0.1332757082492974,3.4570915588836884,PE2,lab
LacAcid_2,2,acid,3.1125,0.19413015463917527,0.2060292377894203,0.13110542204997416,3.5666731608641533,PE2,lab
LacAcid_2,3,acid,3.6750000000000003,0.1922226224783862,0.16389865626413086,0.12223443930265339,3.8947380812198733,PE2,lab
LevAcid_5,1,acid,1.0499999999999998,0.053382352941176464,0.1521042843366855,0.11167302639834088,3.872081440852785,PE2,lab
LevAcid_5,2,acid,1.0905,0.0557537323943662,0.14930929841343143,0.10170172960950971,5.607787995755983,PE2,lab
LevAcid_5,3,acid,1.0785,0.05422375346260387,0.14935921555398415,0.10206223198368948,7.775428414318534,PE2,lab
LevAcid_2.5,1,acid,1.46625,0.07454464285714286,0.15275913644146186,0.10234401685489135,5.8500441450259455,PE2,lab
LevAcid_2.5,2,acid,1.4985,0.07661345070422536,0.16595243592703765,0.11291090453034144,5.051477563387179,PE2,lab
LevAcid_2.5,3,acid,1.347,0.07476467889908256,0.1637190340115592,0.10800128306356377,5.58948379815051,PE2,lab
HMF_6,1,aldehyde,0,0,0,0,0,PE2,lab
HMF_6,2,aldehyde,0,0,0,0,0,PE2,lab
HMF_6,3,aldehyde,0,0,0,0,0,PE2,lab
HMF_0.5,1,aldehyde,1.51575,0.07749538732394366,0.1586486129894119,0.09134164980543459,6.745111227954361,PE2,lab
HMF_0.5,2,aldehyde,1.476,0.07856129032258063,0.15581325073657176,0.0856948503536091,7.567657962753875,PE2,lab
HMF_0.5,3,aldehyde,1.4609999999999999,0.07598037249283668,0.1502929078061776,0.08744195181164828,7.547162454107089,PE2,lab
Furf_3,1,aldehyde,0,0,0,0,0,PE2,lab
Furf_3,2,aldehyde,0,0,0,0,0,PE2,lab
Furf_3,3,aldehyde,0,0,0,0,0,PE2,lab
Furf_1,1,aldehyde,1.26675,0.06440199579831933,0.16555851848936298,0.07897207176556482,15.92341329190395,PE2,lab
Furf_1,2,aldehyde,1.353,0.06802479224376731,0.15395126080948707,0.09098302772849591,14.291272399096192,PE2,lab
Furf_1,3,aldehyde,1.305,0.06672042253521127,0.16948461259359437,0.09211034105579813,14.829975857355988,PE2,lab
Van_2,1,aldehyde,0,0,0,0,0,PE2,lab
Van_2,2,aldehyde,0,0,0,0,0,PE2,lab
Van_2,3,aldehyde,0,0,0,0,0,PE2,lab
Van_0.5,1,aldehyde,0.8265,0.04225626760563381,0.18067981660454532,0.07336265240325113,8.211805560703766,PE2,lab
Van_0.5,2,aldehyde,0.7507499999999999,0.03860088526912181,0.18989159496055888,0.07851807385697257,8.039567650070259,PE2,lab
Van_0.5,3,aldehyde,0.9690000000000001,0.05097782608695653,0.1762452907035944,0.06054742013313735,9.472616510624999,PE2,lab
Glu_20,1,hexose,2.865,0.14730807365439094,0.12836045670764476,0.10788647978068519,5.589407054506834,PE2,lab
Glu_20,2,hexose,2.805,0.1410270083102493,0.13240397153366593,0.10916627208386283,5.440605902565211,PE2,lab
Glu_20,3,hexose,2.7075,0.136883356545961,0.1622681727149968,0.10767152908345852,5.690605003395756,PE2,lab
