condition,replicate,group,CDW,Yx,Yp,mumax,lag,strain,strain_type
LevAcid_5,1,acid,0.99294,0.05021117045454546,0.06232432636019284,0.12383924372979525,7.182241605242792,CENPK7D,lab
LevAcid_5,2,acid,1.01505,0.0507525,0.06285511363636363,0.12668868726222546,7.227235349031903,CENPK7D,lab
LevAcid_5,3,acid,1.00567,0.0502835,0.06709280303030303,0.12604060215386786,7.248465403989433,CENPK7D,lab
LevAcid_2.5,1,acid,1.1423500000000002,0.05711750000000001,0.06055871212121211,0.1353226782413616,6.820014798054891,CENPK7D,lab
LevAcid_2.5,2,acid,1.14168,0.05806258285714285,0.06723160173160171,0.13489523727394145,6.8780782129436195,CENPK7D,lab
LevAcid_2.5,3,acid,1.1577600000000001,0.05788800000000001,0.06477272727272726,0.13526961059683124,6.912607039263725,CENPK7D,lab
HMF_6,1,aldehyde,0,0,0,0,0,CENPK7D,lab
HMF_6,2,aldehyde,0,0,0,0,0,CENPK7D,lab
HMF_6,3,aldehyde,0,0,0,0,0,CENPK7D,lab
HMF_0.5,1,aldehyde,1.16446,0.05855194350282486,0.06168651557952406,0.11982943763439073,8.164021314360383,CENPK7D,lab
HMF_0.5,2,aldehyde,1.27367,0.06514748850574711,0.06652815874259839,0.1184795918979445,8.10501042956821,CENPK7D,lab
HMF_0.5,3,aldehyde,1.3614400000000002,0.0696368735632184,0.07892801941832113,0.1174674754239472,8.031063107039827,CENPK7D,lab
Furf_3,1,aldehyde,0,0,0,0,0,CENPK7D,lab
Furf_3,2,aldehyde,0,0,0,0,0,CENPK7D,lab
Furf_3,3,aldehyde,0,0,0,0,0,CENPK7D,lab
Furf_1,1,aldehyde,1.2086800000000002,0.06043400000000001,0.05712594696969697,0.12581799723103468,16.71276947051468,CENPK7D,lab
Furf_1,2,aldehyde,1.1691500000000001,0.05845750000000001,0.06226325757575758,0.12455590031810845,15.994392101759892,CENPK7D,lab
Furf_1,3,aldehyde,1.21471,0.061776679999999994,0.06557007575757574,0.12374542776574607,15.368364346942693,CENPK7D,lab
Van_2,1,aldehyde,0,0,0,0,0,CENPK7D,lab
Van_2,2,aldehyde,0,0,0,0,0,CENPK7D,lab
Van_2,3,aldehyde,0,0,0,0,0,CENPK7D,lab
Van_0.5,1,aldehyde,1.0766900000000001,0.057726150602409654,0.06359101177437022,0.09254159173110489,13.437209266381068,CENPK7D,lab
Van_0.5,2,aldehyde,1.01438,0.050719,0.06392045454545454,0.09018506970263827,13.591157470992366,CENPK7D,lab
Van_0.5,3,aldehyde,1.0787000000000002,0.05454789772727274,0.06945942019628099,0.07825044133602894,13.81971597115052,CENPK7D,lab
Glu_20,1,hexose,3.5108,0.17554,0.06006155303030303,0.13308237511769502,6.950597021486249,CENPK7D,lab
Glu_20,2,hexose,3.1422999999999996,0.15711499999999998,0.060677083333333326,0.13643578764841777,6.817650602454384,CENPK7D,lab
Glu_20,3,hexose,3.2026,0.16013,0.0568655303030303,0.13694564628713266,6.825449164257099,CENPK7D,lab
